                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5023,                 2.0124,                 1.1462,                0.51667,                0.66115,                0.56132,                0.33895,                 1.4122,                 1.2052,                  1.119,              0.0002774,              0.0002774,              0.0002774
                      1,                 1.4182,                 1.3742,                 1.1137,                0.57987,                0.68817,                0.61249,                0.37248,                 1.3888,                  1.142,                 1.1211,             0.00053675,             0.00053675,             0.00053675
                      2,                 1.3826,                 1.2245,                 1.1104,                0.61273,                0.69041,                0.65351,                0.39804,                 1.4037,                  1.064,                 1.1459,             0.00077777,             0.00077777,             0.00077777
                      3,                 1.3649,                 1.1442,                 1.1102,                  0.595,                0.72052,                0.67369,                0.43711,                 1.2994,                0.98241,                 1.1116,             0.00075053,             0.00075053,             0.00075053
                      4,                 1.3546,                 1.0947,                 1.1068,                0.64077,                 0.6942,                0.70094,                0.45295,                 1.2893,                0.97996,                  1.097,             0.00075053,             0.00075053,             0.00075053
                      5,                 1.3316,                 1.0498,                  1.099,                0.67546,                0.72855,                0.71981,                0.45894,                 1.2948,                 0.9551,                 1.1076,             0.00072304,             0.00072304,             0.00072304
                      6,                 1.3155,                 1.0272,                  1.092,                0.68342,                0.72653,                0.72733,                0.47318,                 1.2843,                0.89976,                 1.0977,             0.00069556,             0.00069556,             0.00069556
                      7,                 1.3087,                0.99371,                 1.0905,                0.68745,                0.72148,                0.74172,                0.48671,                 1.2697,                0.89337,                 1.0914,             0.00066807,             0.00066807,             0.00066807
                      8,                 1.2919,                0.97197,                 1.0821,                0.68756,                0.73699,                0.74619,                0.48517,                  1.269,                0.87357,                 1.0906,             0.00064058,             0.00064058,             0.00064058
                      9,                 1.2766,                0.96302,                 1.0789,                0.71062,                0.74291,                0.77266,                0.50946,                 1.2366,                0.84043,                 1.0804,             0.00061309,             0.00061309,             0.00061309
                     10,                 1.2669,                0.94856,                 1.0775,                0.68796,                0.75905,                0.77549,                0.51627,                  1.236,                 0.8519,                 1.0782,              0.0005856,              0.0005856,              0.0005856
                     11,                 1.2583,                0.93142,                 1.0726,                 0.7338,                0.76443,                0.79109,                0.53201,                 1.2177,                0.83055,                 1.0723,             0.00055811,             0.00055811,             0.00055811
                     12,                 1.2485,                0.91899,                 1.0718,                0.74693,                0.75562,                0.80176,                0.54013,                 1.2213,                0.81158,                 1.0745,             0.00053062,             0.00053062,             0.00053062
                     13,                   1.24,                0.90832,                 1.0652,                 0.7314,                0.75578,                0.79944,                0.53348,                  1.222,                0.80975,                 1.0734,             0.00050313,             0.00050313,             0.00050313
                     14,                 1.2328,                0.89116,                 1.0659,                0.73641,                0.76195,                 0.8026,                0.54494,                  1.198,                0.79464,                 1.0686,             0.00047564,             0.00047564,             0.00047564
                     15,                 1.2305,                0.89068,                 1.0658,                0.76296,                0.76216,                0.82239,                0.56496,                 1.1778,                 0.7747,                 1.0557,             0.00044815,             0.00044815,             0.00044815
                     16,                 1.2082,                0.86311,                 1.0556,                 0.7518,                0.75989,                0.81328,                0.56385,                 1.1734,                 0.7565,                 1.0595,             0.00042066,             0.00042066,             0.00042066
                     17,                 1.2048,                0.85831,                 1.0524,                0.77772,                 0.7828,                 0.8366,                0.58152,                 1.1623,                0.74455,                 1.0525,             0.00039318,             0.00039318,             0.00039318
                     18,                 1.2006,                0.85167,                 1.0527,                0.78142,                0.78697,                 0.8417,                0.58652,                 1.1573,                 0.7363,                 1.0515,             0.00036569,             0.00036569,             0.00036569
                     19,                 1.1907,                0.83411,                 1.0496,                 0.7892,                0.78666,                0.84665,                0.59173,                 1.1472,                0.73279,                 1.0483,              0.0003382,              0.0003382,              0.0003382
                     20,                 1.1818,                0.76404,                 1.0587,                0.79096,                0.79813,                0.85633,                0.60195,                 1.1458,                0.71852,                 1.0532,             0.00031071,             0.00031071,             0.00031071
                     21,                 1.1677,                0.74549,                 1.0514,                0.80761,                0.79447,                0.86549,                 0.6141,                 1.1253,                0.69803,                 1.0378,             0.00028322,             0.00028322,             0.00028322
                     22,                 1.1582,                0.73127,                 1.0485,                0.82332,                0.80908,                 0.8783,                0.62847,                 1.1162,                0.67605,                 1.0339,             0.00025573,             0.00025573,             0.00025573
                     23,                 1.1473,                  0.719,                 1.0469,                0.81714,                0.82226,                0.88466,                0.63319,                 1.1037,                0.66714,                 1.0321,             0.00022824,             0.00022824,             0.00022824
                     24,                 1.1362,                0.70574,                 1.0383,                0.82466,                0.82681,                0.88957,                0.63649,                 1.1022,                0.65691,                 1.0302,             0.00020075,             0.00020075,             0.00020075
                     25,                 1.1225,                0.68876,                 1.0357,                0.84315,                0.82786,                0.90117,                0.65267,                 1.0863,                0.63663,                 1.0251,             0.00017326,             0.00017326,             0.00017326
                     26,                  1.117,                0.67962,                 1.0328,                0.84145,                0.83225,                0.90414,                0.65887,                 1.0773,                0.62607,                 1.0213,             0.00014577,             0.00014577,             0.00014577
                     27,                 1.1084,                0.66564,                 1.0298,                0.85368,                0.83594,                0.90853,                0.66351,                  1.068,                0.61699,                 1.0176,             0.00011829,             0.00011829,             0.00011829
                     28,                 1.0997,                 0.6549,                 1.0258,                0.85679,                0.83805,                0.91217,                0.67068,                 1.0625,                0.60655,                 1.0167,             9.0797e-05,             9.0797e-05,             9.0797e-05
