vehicle_count_id,car,motorcycle,bike,truck,bus,n,s,e,w,ne,nw,se,sw,timestamp,location_id,excesso_velocidade,velocidade_media,location,direction,latitude,longitude,limite
11,23,4,0,4,0,0,0,24,1,4,1,0,0,2025-05-21 19:20:00,3,0,0,Rua XPTOOO,Sul,48° 51′ 30.23″ N,2° 17′ 40.2″ E,50
12,38,1,0,5,4,0,1,8,0,0,0,37,0,2025-05-21 19:23:00,3,0,0,Rua XPTOOO,Sul,48° 51′ 30.23″ N,2° 17′ 40.2″ E,50
13,180,7,0,27,13,1,1,84,2,0,90,43,0,2025-05-21 19:30:00,3,0,0,Rua XPTOOO,Sul,48° 51′ 30.23″ N,2° 17′ 40.2″ E,50
14,201,11,0,29,13,1,1,104,3,3,91,43,0,2025-05-21 20:20:00,3,0,0,Rua XPTOOO,Sul,48° 51′ 30.23″ N,2° 17′ 40.2″ E,50
26,35,1,0,5,4,0,0,0,0,0,0,0,0,2025-06-30 19:55:00,3,0,0,Rua XPTOOO,Sul,48° 51′ 30.23″ N,2° 17′ 40.2″ E,50
27,23,4,0,4,0,0,1,4,0,24,0,0,1,2025-06-30 12:45:00,6,0,0,Rua teste23,Sudeste,34° 3′ 22″ N,118° 14′ 38″ W,1
28,38,1,0,5,4,37,0,0,0,8,1,0,0,2025-08-01 15:25:00,6,0,0,Rua teste23,Sudeste,34° 3′ 22″ N,118° 14′ 38″ W,1
29,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-02 22:55:00,3,0,0,Rua XPTOOO,Sul,48° 51′ 30.23″ N,2° 17′ 40.2″ E,50
30,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-02 22:50:00,3,0,0,Rua XPTOOO,Sul,48° 51′ 30.23″ N,2° 17′ 40.2″ E,50
31,0,0,0,1,0,0,0,0,1,0,0,0,0,2025-07-03 14:55:00,6,0,0,Rua teste23,Sudeste,34° 3′ 22″ N,118° 14′ 38″ W,1
32,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-03 15:05:00,6,0,0,Rua teste23,Sudeste,34° 3′ 22″ N,118° 14′ 38″ W,1
33,43,1,0,4,4,38,0,2,0,7,2,0,0,2025-07-03 16:05:00,6,0,0,Rua teste23,Sudeste,34° 3′ 22″ N,118° 14′ 38″ W,1
34,43,1,0,4,4,38,0,2,0,7,2,0,0,2025-07-03 16:15:00,6,0,0,Rua teste23,Sudeste,34° 3′ 22″ N,118° 14′ 38″ W,1
35,43,1,0,4,4,38,0,2,0,7,2,0,0,2025-07-03 16:35:00,6,40,0,Rua teste23,Sudeste,34° 3′ 22″ N,118° 14′ 38″ W,1
36,43,1,0,4,4,38,0,2,0,7,2,0,0,2025-07-03 16:45:00,6,40,0,Rua teste23,Sudeste,34° 3′ 22″ N,118° 14′ 38″ W,1
37,43,1,0,4,4,38,0,2,0,7,2,0,0,2025-07-03 16:55:00,6,40,23,Rua teste23,Sudeste,34° 3′ 22″ N,118° 14′ 38″ W,1
38,24,5,0,3,0,1,2,5,0,22,0,0,0,2025-07-03 17:05:00,6,26,76,Rua teste23,Sudeste,34° 3′ 22″ N,118° 14′ 38″ W,1
39,24,5,0,3,0,1,2,4,0,23,0,0,0,2025-07-03 17:15:00,6,18,1,Rua teste23,Sudeste,34° 3′ 22″ N,118° 14′ 38″ W,1
40,24,5,0,3,0,1,2,4,0,23,0,0,0,2025-07-03 17:35:00,6,26,31,Rua teste23,Sudeste,34° 3′ 22″ N,118° 14′ 38″ W,1
41,43,1,0,4,4,38,0,2,0,8,2,0,0,2025-07-03 17:55:00,6,40,14,Rua teste23,Sudeste,34° 3′ 22″ N,118° 14′ 38″ W,1
