vehicle_count_id,car,motorcycle,bike,truck,bus,n,s,e,w,ne,nw,se,sw,timestamp,location_id,excesso_velocidade,velocidade_media,location,direction,latitude,longitude,limite,date,time,hour,minute,period
11,23,4,0,4,0,0,0,24,1,4,1,0,0,2025-05-21 19:20:00,3,0,0,Rua XPTOOO,S,48.8584,2.2945,50,2025-05-21,19:20:00,19,20,PM
12,38,1,0,5,4,0,1,8,0,0,0,37,0,2025-05-21 19:23:00,3,0,0,Rua XPTOOO,S,48.8584,2.2945,50,2025-05-21,19:23:00,19,23,PM
13,180,7,0,27,13,1,1,84,2,0,90,43,0,2025-05-21 19:30:00,3,0,0,Rua XPTOOO,S,48.8584,2.2945,50,2025-05-21,19:30:00,19,30,PM
14,201,11,0,29,13,1,1,104,3,3,91,43,0,2025-05-21 20:20:00,3,0,0,Rua XPTOOO,S,48.8584,2.2945,50,2025-05-21,20:20:00,20,20,PM
26,35,1,0,5,4,0,0,0,0,0,0,0,0,2025-06-30 19:55:00,3,0,0,Rua XPTOOO,S,48.8584,2.2945,50,2025-06-30,19:55:00,19,55,PM
27,23,4,0,4,0,0,1,4,0,24,0,0,1,2025-06-30 12:45:00,6,0,0,Rua teste23,SE,34.0561,-118.2439,1,2025-06-30,12:45:00,12,45,PM
28,38,1,0,5,4,37,0,0,0,8,1,0,0,2025-08-01 15:25:00,6,0,0,Rua teste23,SE,34.0561,-118.2439,1,2025-08-01,15:25:00,15,25,PM
29,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-02 22:55:00,3,0,0,Rua XPTOOO,S,48.8584,2.2945,50,2025-07-02,22:55:00,22,55,PM
30,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-02 22:50:00,3,0,0,Rua XPTOOO,S,48.8584,2.2945,50,2025-07-02,22:50:00,22,50,PM
31,0,0,0,1,0,0,0,0,1,0,0,0,0,2025-07-03 14:55:00,6,0,0,Rua teste23,SE,34.0561,-118.2439,1,2025-07-03,14:55:00,14,55,PM
32,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-03 15:05:00,6,0,0,Rua teste23,SE,34.0561,-118.2439,1,2025-07-03,15:05:00,15,5,PM
33,43,1,0,4,4,38,0,2,0,7,2,0,0,2025-07-03 16:05:00,6,0,0,Rua teste23,SE,34.0561,-118.2439,1,2025-07-03,16:05:00,16,5,PM
34,43,1,0,4,4,38,0,2,0,7,2,0,0,2025-07-03 16:15:00,6,0,0,Rua teste23,SE,34.0561,-118.2439,1,2025-07-03,16:15:00,16,15,PM
35,43,1,0,4,4,38,0,2,0,7,2,0,0,2025-07-03 16:35:00,6,40,0,Rua teste23,SE,34.0561,-118.2439,1,2025-07-03,16:35:00,16,35,PM
36,43,1,0,4,4,38,0,2,0,7,2,0,0,2025-07-03 16:45:00,6,40,0,Rua teste23,SE,34.0561,-118.2439,1,2025-07-03,16:45:00,16,45,PM
37,43,1,0,4,4,38,0,2,0,7,2,0,0,2025-07-03 16:55:00,6,40,23,Rua teste23,SE,34.0561,-118.2439,1,2025-07-03,16:55:00,16,55,PM
38,24,5,0,3,0,1,2,5,0,22,0,0,0,2025-07-03 17:05:00,6,26,76,Rua teste23,SE,34.0561,-118.2439,1,2025-07-03,17:05:00,17,5,PM
39,24,5,0,3,0,1,2,4,0,23,0,0,0,2025-07-03 17:15:00,6,18,1,Rua teste23,SE,34.0561,-118.2439,1,2025-07-03,17:15:00,17,15,PM
40,24,5,0,3,0,1,2,4,0,23,0,0,0,2025-07-03 17:35:00,6,26,31,Rua teste23,SE,34.0561,-118.2439,1,2025-07-03,17:35:00,17,35,PM
41,43,1,0,4,4,38,0,2,0,8,2,0,0,2025-07-03 17:55:00,6,40,14,Rua teste23,SE,34.0561,-118.2439,1,2025-07-03,17:55:00,17,55,PM
